T average (derajat C),Sun Radiation (W/m2),RH Avg (%),Wind Direction (degree),Wind Speed Avg (m/s),Pressure Avg (hpA),Rain Rate (mm)
28.76533696,39.00844462,67.87979212,160.542785,2.315320075,997.7804568,0
28.68888889,40.60833333,70.90972222,214.9513889,3.748611111,997.5770833,0
28.72291667,44.22916667,70.99097222,201.8305556,4.273611111,998.0034722,0
28.12916667,38.85,73.47708333,199.3090278,3.814583333,998.55625,0
28.02013889,24.72777778,74.22847222,215.38125,3.219444444,998.60625,0
28.13194444,29.72083333,73.50555556,212.4381944,2.738888889,998.6652778,1
28.61041667,39.97152778,72.75902778,202.1722222,3.404166667,997.6215278,0
28.44652778,39.38472222,73.34513889,158.8534722,2.120138889,996.5263889,2
28.16527778,34.08958333,76.14791667,199.7875,2.973611111,996.6208333,0
29.11666667,39.55416667,72.05,169.825,3.272916667,996.6180556,0
28.97222222,31.92916667,69.76666667,212.9416667,2.845138889,996.9583333,0
28.55416667,25.74652778,76.54930556,194.2333333,3.564583333,997.0236111,1
28.28263889,32.34513889,79.83958333,197.1013889,3.427777778,996.7770833,6.4
27.72797203,30.15664336,78.97622378,226.1979021,3.23986014,996.9,1.6
28.31736111,33.53541667,74.41666667,248.9104167,2.661111111,997.6381944,1.4
27.85069444,35.1125,76.10416667,216.9972222,3.684027778,998.4034722,32.6
28.28206897,30.79862069,74.92896552,257.7282759,2.400689655,998.6882759,0.2
27.98333333,33.81805556,76.34652778,187.9298611,2.754166667,998.2909722,9.6
26.19375,18.96180556,83.61319444,222.6986111,2.522916667,999.3729167,0
26.96111111,42.57152778,80.38680556,189.0173611,2.045833333,997.9111111,21.2
27.90972222,31.25833333,76.13958333,243.5652778,2.10625,998.5736111,0
28.06319444,40.54166667,76.28472222,223.4763889,2.888888889,971.9972222,0
27.58125,31.37152778,78.91388889,234.3756944,2.429861111,993.26875,8
25.35555556,29.89375,80.80833333,202.0930556,2.268055556,993.2861111,0.6
27.96180556,47.70694444,72.43611111,216.1243056,2.376388889,999.7722222,1.2
27.32222222,43.01458333,78.28888889,238.4347222,2.367361111,998.0298611,0.4
27.21041667,28.02083333,80.5125,219.6868056,2.283333333,997.2541667,0.6
26.21111111,19.13125,84.67361111,231.1583333,2.126388889,991.2173611,9
26.26527778,25.86944444,83.69097222,197.0909722,2.379861111,998.7541667,5.8
27.1875,37.11875,79.25763889,212.0013889,2.572222222,998.3354167,0
26.75,32.80347222,82.47222222,201.3326389,2.513194444,998.0930556,0
28.27291667,37.88888889,76.17847222,216.2791667,1.96875,997.1951389,0
28.1125,34.63888889,78.03958333,213.2361111,2.41875,997.5506944,1
27.62361111,42.82777778,76.32708333,203.8076389,3.255555556,998.3798611,0
27.95,42.15902778,74.34097222,218.9604167,3.677777778,998.4229167,0
